Date	Close	Open	High	Low	Volume	ROI
2014-01-02	10.47	10.47	10.52	10.35	733	0.4098
2014-01-03	10.56	10.52	10.69	10.39	2180	0.8163
2014-01-06	10.56	10.6	10.64	10.43	729	0.0
2014-01-07	10.6	10.56	10.77	10.56	1879	0.4049
2014-01-08	10.64	10.69	10.77	10.6	1760	0.4032
2014-01-09	10.6	10.64	11.03	10.6	3267	-0.4016
2014-01-10	10.69	10.6	10.77	10.56	860	0.8065
2014-01-13	10.6	10.77	10.77	10.6	831	-0.8
2014-01-14	10.52	10.6	10.64	10.39	848	-0.8065
2014-01-15	10.56	10.56	10.69	10.47	796	0.4065
2014-01-16	10.39	10.64	10.64	10.39	1022	-1.6194
2014-01-17	10.52	10.47	10.6	10.3	1369	1.2346
2014-01-20	10.43	10.6	10.6	10.43	635	-0.813
2014-01-21	11.16	10.52	11.16	10.52	8638	6.9672
2014-01-22	10.94	11.07	11.07	10.86	3315	-1.9157
2014-01-23	10.82	10.94	11.03	10.77	1273	-1.1719
2014-01-24	10.56	10.77	10.9	10.52	1931	-2.3715
2014-01-27	10.39	10.43	10.64	10.3	1728	-1.6194
2014-02-05	10.3	10.09	10.3	10.09	1094	-0.823
2014-02-06	10.43	10.39	10.52	10.35	897	1.2448
2014-02-07	10.47	10.52	10.56	10.43	1014	0.4098
2014-02-10	10.56	10.6	10.69	10.52	1017	0.8163
2014-02-11	10.52	10.64	10.64	10.52	529	-0.4049
2014-02-12	11.24	10.69	11.24	10.69	8983	6.9106
2014-02-13	12.01	11.71	12.01	11.71	11770	6.8441
2014-02-14	12.14	12.4	12.74	12.01	21848	1.0676
2014-02-17	12.61	12.14	12.61	12.06	9345	3.8732
2014-02-18	12.78	12.7	13.12	12.48	10933	1.3559
2014-02-19	12.65	12.78	12.95	12.57	5287	-1.0033
2014-02-20	12.7	12.74	13.21	12.65	9478	0.3378
2014-02-21	12.74	12.74	12.95	12.74	3341	0.3367
2014-02-24	12.44	12.91	12.95	12.4	4114	-2.349
2014-02-25	13.3	12.44	13.3	12.44	12222	6.8729
2014-02-26	13.85	13.25	13.89	12.91	17950	4.1801
2014-02-27	13.3	13.89	14.11	13.21	18669	-4.0123
2014-03-03	13.0	13.17	13.17	12.91	4154	-2.2508
2014-03-04	13.0	13.0	13.3	12.95	2660	0.0
2014-03-05	13.0	13.25	13.25	13.0	2559	0.0
2014-03-06	13.08	13.0	13.68	13.0	5097	0.6579
2014-03-07	12.53	13.34	13.47	12.48	5065	-4.2484
2014-03-10	12.57	12.57	12.7	12.4	1962	0.3413
2014-03-11	12.53	12.57	12.74	12.44	1810	-0.3401
2014-03-12	12.74	12.53	12.87	12.35	3451	1.7065
2014-03-13	12.7	12.74	12.95	12.65	2508	-0.3356
