Date	Close	Open	High	Low	Volume
2015-06-01	49.02	49.66	49.66	48.75	8941
2015-06-02	49.84	49.11	50.02	48.93	11150
2015-06-03	49.2	49.93	49.93	49.02	5111
2015-06-04	48.84	49.11	49.29	48.2	7476
2015-06-05	48.38	48.66	48.75	47.47	8480
2015-06-08	48.47	48.29	48.84	47.84	6135
2015-06-09	47.11	48.38	48.38	47.11	5962
2015-06-10	48.75	47.66	49.57	47.47	10241
2015-06-11	48.02	49.11	49.2	47.66	7111
2015-06-12	47.47	48.02	48.29	47.47	5602
2015-06-15	47.84	47.66	47.93	47.11	3694
2015-06-16	48.47	48.11	48.47	47.66	7360
2015-06-17	47.75	48.57	48.57	47.57	9921
2015-06-18	47.38	47.93	47.93	47.38	7150
2015-06-22	47.66	47.47	48.29	47.47	8272
2015-06-23	47.38	48.02	48.02	47.38	5618
2015-06-24	47.84	47.38	47.84	47.38	4558
2015-06-25	49.11	47.93	49.29	47.84	14820
2015-06-26	48.93	49.48	49.57	48.57	7730
2015-06-29	48.75	48.93	49.2	48.66	6236
2015-06-30	49.75	49.11	50.02	48.57	10784
2015-07-01	49.38	49.75	49.93	49.38	6839
2015-07-02	50.02	49.57	50.02	49.29	5142
2015-07-03	49.93	49.84	50.02	48.93	6725
2015-07-06	49.2	49.2	49.66	49.02	8024
2015-07-07	49.29	49.2	49.75	49.2	11327
2015-07-08	49.11	49.11	49.57	48.47	12922
2015-07-09	49.11	48.93	49.38	48.29	10207
2015-07-13	48.93	49.2	49.2	48.47	9354
2015-07-14	48.57	49.2	49.2	48.57	5190
2015-07-15	49.29	48.84	49.29	48.57	7726
2015-07-16	49.66	49.11	49.84	48.93	5207
2015-07-17	49.84	49.93	50.02	49.75	7797
2015-07-20	49.38	50.2	50.38	49.2	8870
2015-07-21	51.84	49.38	51.84	49.38	28293
2015-07-22	50.29	51.84	51.84	50.2	24915
2015-07-23	49.75	50.29	50.84	49.38	16469
2015-07-24	50.66	50.29	50.66	49.2	15745
2015-07-27	49.57	50.2	50.57	49.48	12742
2015-07-28	50.57	50.02	50.93	49.84	13306
2015-07-29	50.11	50.57	51.02	49.93	11080
2015-07-30	50.48	50.02	51.29	50.02	11690
2015-07-31	50.57	50.48	50.57	49.38	16124
2015-08-03	50.48	50.48	50.57	49.57	8820
2015-08-04	51.02	50.57	51.2	50.48	19259
2015-08-05	51.84	51.02	52.11	50.66	28382
2015-08-06	51.49	52.36	52.85	51.49	25662
2015-08-07	51.2	51.49	51.88	51.1	11418
2015-08-10	53.82	51.59	54.59	51.59	17291
2015-08-11	52.36	54.21	54.3	52.36	18920
2015-08-12	53.72	52.95	54.11	52.95	18756
2015-08-13	54.11	53.33	54.11	53.04	15993
2015-08-14	55.18	54.11	55.27	53.72	14166
2015-08-17	55.37	55.47	56.05	54.59	13686
2015-08-18	57.41	56.15	58.18	56.05	27523
2015-08-19	56.63	57.21	57.21	55.66	22783
2015-08-20	56.82	55.76	57.21	55.56	20052
2015-08-21	55.18	56.44	56.63	55.18	15894
2015-08-24	53.53	54.4	55.08	51.2	23229
2015-08-25	53.62	53.62	53.92	52.95	14476
2015-08-26	54.69	54.5	55.18	53.24	18016
2015-08-27	54.69	54.69	55.08	53.43	17252
2015-08-28	54.59	54.69	54.79	54.01	11157
2015-08-31	56.24	54.59	56.24	53.62	20662
2015-09-01	53.92	55.85	56.24	53.92	11037
2015-09-02	54.79	53.92	55.27	53.72	12646
2015-09-03	55.76	55.27	55.76	54.59	13183
2015-09-04	54.4	55.27	55.47	54.3	9071
2015-09-07	52.85	54.11	54.69	52.65	11619
2015-09-08	52.85	53.24	53.53	52.27	14170
2015-09-09	54.59	54.3	55.47	54.3	17031
2015-09-10	55.47	54.69	55.76	54.69	8617
2015-09-11	55.76	55.76	56.24	55.56	11192
2015-09-14	54.88	55.76	55.95	54.5	6446
2015-09-15	54.69	54.88	54.98	54.11	6069
2015-09-16	54.79	55.18	55.18	54.5	7955
2015-09-17	55.85	55.27	56.24	55.27	16377
2015-09-18	55.08	55.76	55.76	55.08	11503
2015-09-21	54.4	54.59	54.88	53.82	9628
2015-09-22	55.37	54.5	55.37	54.4	7831
2015-09-23	53.33	54.5	54.59	53.24	13356
2015-09-24	53.33	53.53	53.82	52.85	6149
2015-09-25	53.62	53.82	54.11	53.43	11177
2015-09-30	55.27	53.24	55.27	53.14	20762
2015-10-01	55.76	55.18	56.15	54.5	13710
2015-10-02	55.76	55.56	55.76	55.18	4982
2015-10-05	56.24	55.95	56.44	55.47	8764
2015-10-06	56.63	56.34	56.92	56.24	9114
2015-10-07	56.82	56.44	57.12	56.24	11754
2015-10-08	56.15	56.82	56.82	55.95	6402
2015-10-12	55.95	55.47	56.05	54.5	10137
2015-10-13	55.76	55.56	55.76	55.18	6419
2015-10-14	54.98	54.98	55.76	54.98	5342
2015-10-15	55.18	55.56	55.76	54.88	6918
2015-10-16	55.18	55.47	55.66	55.18	7009
2015-10-19	55.08	55.47	55.56	54.69	6784
2015-10-20	55.37	54.79	55.66	54.79	6459
2015-10-21	54.98	55.56	55.76	54.79	3086
2015-10-22	55.18	55.37	55.47	54.88	5943
2015-10-23	55.18	55.76	55.95	54.98	9849
2015-10-26	54.69	55.18	55.47	54.59	7393
2015-10-27	53.92	54.88	54.98	52.95	18094
2015-10-28	53.72	53.72	53.92	53.14	8966
2015-10-29	53.53	54.21	54.3	53.33	9976
2015-10-30	53.33	53.53	53.82	53.14	7557
2015-11-02	52.85	53.04	53.53	52.75	7486
2015-11-03	53.72	53.24	53.72	53.04	15469
2015-11-04	54.5	53.92	54.88	53.62	10317
2015-11-05	53.82	54.5	54.5	53.72	5608
2015-11-06	52.95	53.82	53.82	52.75	11209
2015-11-09	53.33	52.95	53.72	52.56	7450
2015-11-10	52.17	52.85	52.95	51.88	10811
2015-11-11	52.85	53.14	53.14	52.27	10535
2015-11-12	52.75	52.85	53.14	52.65	7941
2015-11-13	51.98	51.98	52.46	51.98	8952
2015-11-16	52.56	51.88	53.04	51.49	11213
2015-11-17	53.24	52.56	53.43	52.46	9060
2015-11-18	51.78	52.85	53.14	51.78	10451
2015-11-19	53.24	52.17	53.43	52.17	12365
2015-11-20	53.24	53.24	53.43	52.36	7748
2015-11-23	53.14	53.53	53.53	52.75	4466
2015-11-24	52.65	53.14	53.53	52.56	9624
2015-11-25	52.56	52.56	53.04	52.27	5618
2015-11-26	53.24	52.95	53.82	52.75	9568
2015-11-27	52.75	53.24	53.24	52.75	2485
2015-11-30	52.17	51.98	52.46	51.39	24480
2015-12-01	52.46	52.36	52.65	51.98	6114
2015-12-02	52.17	52.36	52.56	52.07	5863
2015-12-03	52.36	51.88	53.04	51.78	5547
2015-12-04	51.98	52.27	52.36	51.78	6544
2015-12-07	52.56	52.17	53.24	52.17	5844
2015-12-08	52.07	52.36	52.36	51.78	7853
2015-12-09	51.39	51.59	52.07	51.39	8172
2015-12-10	51.98	51.3	51.98	50.91	10985
2015-12-11	52.17	52.07	52.27	51.49	9162
2015-12-14	51.3	51.68	51.78	51.2	6811
2015-12-15	51.78	51.39	52.75	51.39	7113
2015-12-16	53.33	52.46	53.33	52.17	10284
2015-12-17	53.53	53.33	53.53	52.75	8107
2015-12-18	52.95	53.14	53.53	52.85	7278
2015-12-21	51.98	52.56	52.65	51.98	7207
2015-12-22	52.85	51.88	52.85	51.78	5073
2015-12-23	53.33	53.04	53.53	52.95	4385
2015-12-24	53.53	53.62	53.82	53.53	4097
2015-12-25	54.01	53.53	54.01	53.53	3130
2015-12-28	53.92	54.01	54.21	53.92	4301
2015-12-29	52.56	53.33	53.43	52.56	4884
2015-12-30	52.85	52.85	53.43	52.75	2724
2015-12-31	53.24	53.04	53.53	52.95	3105
2016-01-04	52.27	53.43	53.72	51.88	7437
2016-01-05	52.46	52.27	52.95	52.17	4827
2016-01-06	52.46	52.46	53.04	52.07	8954
2016-01-07	52.17	52.75	52.85	51.59	8873
2016-01-08	51.39	51.68	51.98	51.2	9208
2016-01-11	50.33	51.01	51.2	50.33	12635
2016-01-12	49.45	50.62	50.81	48.78	15302
2016-01-13	50.72	50.04	50.72	50.04	7821
2016-01-14	51.39	50.04	51.39	49.45	9756
2016-01-15	51.3	51.2	51.49	50.13	15646
2016-01-18	50.52	50.13	50.91	50.04	9937
2016-01-19	50.91	50.91	51.68	50.52	5390
2016-01-20	51.39	50.72	51.39	50.52	9449
2016-01-21	50.72	51.59	51.68	50.62	9228
2016-01-22	50.72	51.39	51.59	50.52	6798
2016-01-25	51.68	50.52	52.17	50.52	6735
2016-01-26	51.39	51.3	51.59	50.81	8492
2016-01-27	52.36	51.88	52.36	51.59	6287
2016-01-28	53.62	52.36	53.62	52.07	11743
2016-01-29	53.82	52.85	53.82	52.85	12605
2016-01-30	53.53	53.53	53.82	53.43	2584
2016-02-01	53.92	52.85	53.92	52.75	4988
2016-02-02	54.59	53.82	54.59	53.53	11088
2016-02-03	53.14	54.21	54.4	53.14	8290
2016-02-15	54.59	53.62	54.69	53.62	17059
2016-02-16	54.79	54.59	54.88	54.4	8595
2016-02-17	54.4	54.88	54.98	54.11	11664
2016-02-18	55.27	55.08	55.47	54.69	17730
2016-02-19	55.27	55.27	55.27	54.79	4940
2016-02-22	55.08	55.27	55.37	54.98	6012
2016-02-23	54.88	54.88	54.88	54.69	9487
2016-02-24	53.53	54.88	55.76	53.53	6953
2016-02-25	54.69	53.92	54.98	53.92	9523
2016-02-26	55.56	55.08	55.56	54.79	8094
2016-03-01	55.47	55.47	55.66	55.08	7286
2016-03-02	54.79	55.76	55.76	54.59	7681
2016-03-03	55.18	54.79	55.37	54.69	10315
2016-03-04	54.98	55.18	55.18	54.69	6340
2016-03-07	55.66	54.98	55.66	54.79	7288
2016-03-08	55.76	55.66	55.76	55.18	7016
2016-03-09	55.27	55.66	55.76	55.08	4265
2016-03-10	55.76	55.27	55.76	55.27	5362
2016-03-11	55.47	55.76	55.76	55.18	6957
2016-03-14	55.08	55.47	55.56	54.98	8996
2016-03-15	55.76	55.27	55.76	55.18	9727
2016-03-16	55.27	55.95	55.95	55.27	6802
2016-03-17	56.34	55.76	57.02	55.66	13663
2016-03-18	56.73	56.15	56.82	56.05	13323
2016-03-21	56.05	56.53	56.63	55.76	4949
2016-03-22	56.24	55.95	56.24	55.56	8250
2016-03-23	56.73	56.24	56.73	56.15	15487
2016-03-24	55.85	56.15	56.63	55.37	14115
2016-03-25	55.18	56.15	56.15	55.18	4832
2016-03-28	55.95	55.18	56.05	54.98	4132
2016-03-29	54.79	55.27	55.27	54.01	16337
2016-03-30	54.59	54.69	55.47	54.59	10279
2016-03-31	54.79	54.69	55.18	54.11	15040
2016-04-01	54.11	53.82	54.3	53.82	11135
2016-04-06	53.92	53.43	55.08	52.65	17092
2016-04-07	53.53	53.92	54.21	53.43	10384
2016-04-08	53.92	53.33	54.3	53.24	13344
2016-04-11	55.18	53.82	55.18	53.33	12065
2016-04-12	55.37	55.18	55.76	54.88	14588
2016-04-13	56.44	55.37	56.44	55.27	15944
2016-04-14	56.15	56.63	56.73	55.66	9030
2016-04-15	57.21	56.53	57.21	56.44	13402
2016-04-18	57.31	56.73	57.31	56.44	4462
2016-04-19	56.53	57.31	57.41	56.53	5177
2016-04-20	56.44	57.12	57.5	55.56	11441
2016-04-21	56.34	55.76	56.34	55.47	6971
2016-04-22	56.73	56.24	56.73	55.56	3864
2016-04-25	57.02	56.63	57.02	55.95	3069
2016-04-26	56.82	56.63	57.12	56.44	4820
2016-04-27	57.21	56.82	57.41	56.73	6453
2016-04-28	57.31	57.31	57.5	56.24	8428
2016-04-29	56.44	56.44	56.82	55.85	9794
2016-05-03	56.05	57.21	57.21	56.05	5376
2016-05-04	54.88	55.76	55.95	54.69	13262
2016-05-05	55.18	54.88	55.47	54.5	6029
2016-05-06	55.56	56.05	56.05	54.59	8188
2016-05-09	54.79	55.27	55.47	54.5	3948
2016-05-10	54.88	54.59	54.88	54.4	4837
2016-05-11	55.56	54.98	55.56	54.59	6723
2016-05-12	56.63	55.56	56.73	55.56	5823
2016-05-13	58.96	57.21	58.96	57.02	23921
2016-05-16	58.57	58.76	58.96	58.18	7566
2016-05-17	58.38	58.67	58.96	57.5	6942
2016-05-18	58.28	57.99	58.38	57.21	7302
2016-05-19	57.6	57.7	58.18	57.21	7854
2016-05-20	58.18	57.79	58.67	57.5	6619
2016-05-23	58.86	57.5	59.15	57.02	8054
2016-05-24	58.18	58.67	58.76	58.18	5628
2016-05-25	58.96	58.67	58.96	57.99	7338
2016-05-26	58.28	58.28	58.67	58.18	3307
2016-05-27	58.38	58.86	58.86	58.08	6458
2016-05-30	59.73	58.67	59.93	58.38	6801
2016-05-31	60.22	59.64	60.22	59.35	14102
2016-06-01	60.8	60.02	61.09	59.44	8796
2016-06-02	61.48	61.09	61.58	60.99	8888
2016-06-03	60.9	61.58	61.77	60.7	6018
2016-06-04	60.41	60.8	60.8	60.22	1068
2016-06-06	61.96	60.9	62.16	60.8	9041
2016-06-07	63.03	62.06	63.03	61.96	13120
2016-06-08	61.09	63.03	64.0	60.9	13897
2016-06-13	59.93	58.18	60.9	58.08	18858
2016-06-14	60.9	59.93	61.09	59.93	5106
2016-06-15	62.35	61.19	62.35	60.99	6362
2016-06-16	62.06	62.35	62.35	60.7	6587
2016-06-17	62.16	62.35	63.03	61.77	9183
2016-06-20	62.25	62.25	62.84	62.06	6032
2016-06-21	62.93	62.25	62.93	61.96	8747
2016-06-22	62.35	62.64	62.84	61.87	7422
2016-06-23	61.96	62.06	62.25	61.48	6319
2016-06-24	60.41	62.06	62.06	58.96	11617
2016-06-27	61.38	60.7	61.48	60.12	4658
2016-06-28	60.12	60.32	60.7	59.44	9956
2016-06-29	61.48	60.41	61.48	60.41	9101
2016-06-30	61.58	61.77	61.77	60.8	7475
2016-07-01	62.93	61.77	63.03	61.67	10497
2016-07-04	62.55	62.64	63.03	62.25	4252
2016-07-05	62.45	62.45	62.84	61.96	6715
2016-07-06	61.67	62.06	62.06	60.9	6339
2016-07-07	61.67	61.96	62.45	61.58	7769
2016-07-11	63.13	62.45	63.13	61.87	16737
2016-07-12	63.61	62.55	63.61	62.45	10573
2016-07-13	65.16	64.0	65.16	63.61	10530
2016-07-14	64.0	65.07	65.16	63.9	6690
2016-07-15	64.0	64.1	65.36	63.71	10946
2016-07-18	64.87	64.48	65.16	63.9	6848
2016-07-19	64.78	64.48	64.97	63.71	9283
2016-07-20	64.68	64.78	64.97	64.1	10891
2016-07-21	64.78	64.78	64.97	64.0	15217
2016-07-22	63.81	64.19	64.58	63.52	10339
2016-07-25	64.0	64.78	64.87	63.42	10011
2016-07-26	64.19	64.0	64.58	63.52	10425
2016-07-27	64.19	64.39	64.39	63.61	8976
2016-07-28	64.29	64.0	64.29	63.61	6545
2016-07-29	63.22	64.0	64.29	63.22	8536
2016-08-01	64.0	63.71	64.29	63.61	8661
2016-08-02	63.52	64.0	64.0	63.22	7249
2016-08-03	64.0	62.93	64.0	62.25	8276
2016-08-04	63.5	64.2	64.5	63.3	11977
2016-08-05	64.2	64.3	64.9	63.6	7855
2016-08-08	63.4	64.5	64.7	62.8	5609
2016-08-09	62.7	63.0	63.1	62.2	8144
2016-08-10	63.8	62.9	64.0	62.6	11974
2016-08-11	64.2	64.2	64.8	63.6	11247
2016-08-12	65.1	64.7	65.1	64.4	7144
2016-08-15	62.2	64.4	64.4	62.1	15267
2016-08-16	61.8	62.5	62.7	61.5	11252
2016-08-17	61.7	61.8	62.6	61.5	6284
2016-08-18	60.7	61.2	61.5	60.6	14406
2016-08-19	59.8	60.9	61.1	59.7	9943
2016-08-22	60.3	59.6	60.5	59.6	6459
2016-08-23	60.5	60.4	60.7	60.0	6760
2016-08-24	60.7	60.7	61.1	60.6	5458
2016-08-25	61.2	60.6	61.2	60.5	9162
2016-08-26	61.6	61.1	61.7	61.1	5305
2016-08-29	61.3	61.6	61.7	60.1	6512
2016-08-30	61.4	61.4	61.7	61.0	5067
2016-08-31	60.0	61.4	61.7	59.6	14063
2016-09-01	58.3	59.6	59.7	58.3	10758
2016-09-02	58.7	58.6	59.2	58.3	8591
2016-09-05	58.8	59.6	59.9	58.6	7297
2016-09-06	58.4	58.8	58.8	57.5	14995
2016-09-07	58.9	58.1	59.1	58.0	14037
2016-09-08	59.1	59.0	59.3	58.6	7610
2016-09-09	58.0	58.3	58.9	57.8	8503
2016-09-10	57.5	57.5	57.7	57.2	3083
2016-09-12	57.5	57.2	57.9	56.6	11632
2016-09-13	57.4	57.5	57.8	56.5	10322
2016-09-14	56.0	56.7	57.0	56.0	15142
2016-09-19	57.9	55.7	58.0	55.7	21805
2016-09-20	57.7	57.5	58.0	57.5	13109
2016-09-21	58.4	57.6	58.5	57.5	10987
2016-09-22	59.4	59.5	59.6	59.0	19970
2016-09-23	59.2	58.8	60.0	58.6	13961
2016-09-26	59.5	59.2	59.6	58.8	5613
2016-09-29	60.7	60.0	60.7	59.8	18160
